VISIT_AREA_NM,counts,overview
대릉원,280,"12만 6,500㎡의 넓은 땅에 23기의 신라시대 고분이 모여 있는 대릉원을 중심으로 그 일대에 고분유적이 산재해 있다. 대릉원 내부만 꼼꼼히 둘러보아도 제법 시간이 소요된다.
주목해서 보아야 할 고분은 제13대 미추왕릉과 거대한 표형분(쌍분)이 눈길을 사로잡는 황남대총, 고분 내부를 들여다 볼 수 있는 천마총이 있다.

봄날 벚꽃놀이 명소로도 유명한 미추왕릉에는 댓잎군사 설화가 전한다.
신라 초기, 이서국에서 신라를 침입했을 때 머리에 댓잎(대나무잎)을 꽂은 군사들이 몰려와 그들을 물리쳤는데 군사들에게 꽂혀 있던 댓잎이 미추왕의 무덤 앞에 소복이 쌓여 있었다. 사람들은 그 후 미추왕릉을 별칭으로 ‘죽장릉’이라 불렀다. 

황남대총은 두 개의 고분이 쌍봉낙타의 등처럼 남북으로 이어져 있는데, 경주에서 가장 큰 고분이다.
1970년대 발굴조사 당시 5만 7천여 점에 달하는 유물이 나왔다. 북쪽 무덤에서는 금관을 비롯한 ‘부인대’라는 여자 허리띠와 목걸이, 팔찌 등의 장신구가 나왔고, 남쪽 무덤에서는 남자의 뼈와 금동관과 무기 위주의 유물이 발견되어 남녀의 무덤, 나아가 부부의 무덤이라 추정한다. 

대릉원을 대표하는 또 다른 고분, 천마총이 황남대총과 멀지 않은 곳에 있다. 옥황상제가 하늘에서 타고 다닌다는 말이 지상에 내려온 듯 상서로워 보이면서도 경쾌한 천마의 그림. 말다래에 그려져 있던 ‘천마도’가 바로 이 무덤에서 나왔다. 그렇게 제155호 고분은 ‘천마총’이란 이름을 가졌고, 고분 내부를 볼 수 있는 거의 유일한 무덤이 되었다.

마지막으로 고분 사이에 목련나무 한 그루가 서 있는 모습이 그림 같은 포토존도 놓치치 말아야 할 대릉원의 관람 포인트다."
천지연폭포,262,"서귀포 천지연폭포는 높이 22m, 폭 12m의 폭포로, 깊이 20m의 웅덩이를 이룹니다. 조면질 안산암 절벽이 장관을 이루며, 하부 서귀포층은 40만 년 전 용암이 덮은 지층입니다. 폭포는 침식으로 상류 쪽으로 이동된 것으로 보입니다.

천지연 계곡에는 담팔수와 가시딸기, 송엽란 등 희귀 식물이 자라며, 난대림이 울창하게 형성되어 있습니다. 담팔수는 제주도 남쪽 해안이 북한지이며, 계곡 산책로를 따라가면 폭포와 만날 수 있습니다.

천연기념물인 무태장어는 천지연에서 가끔 발견되는 열대성 대형 물고기로, 드물게 국내 하천에서도 보입니다. 무태장어는 희귀종으로 지정되어 보호됩니다.

서귀포항의 오솔길은 꽃나무와 돌징검다리 등으로 인기를 끌며, 야간조명시설이 있어 연중 늦은 시간까지 관광을 즐길 수 있습니다."
김녕해수욕장,250,"하늘에서 바라본 모습이 한문 평(平) 자를 이룬 모양을 하고 있어 김녕이라고 불리는, 김녕마을에 있는 해수욕장이다. 거대한 너럭바위 용암 위에 모래가 쌓여 만들어졌으며, 성세기는 외세의 침략을 막기 위한 작은 성이라는 뜻이 담겨 있다.
하얀 모래에 부서지는 파도들이 시원한 소리를 내고, 코발트빛 바다 풍경이 제주 자연의 아름다움을 새삼 느끼게 해주는 곳이다.
해변가를 걷다 보면 제주의 바람으로 돌아가는 김녕풍력발전기들을 관찰할 수 있다. 인근에는 갓돔과 노래미돔이 잘 잡히는 갯바위 낚시터가 낚시꾼들에게 인기 명소이며, 용천동굴, 당처물동굴, 만장굴 등 다양한 굴이 근처에 위치해 있어 여름에 시원하게 피서를 즐길 수 있다.
김녕해수욕장은 특이한 지형으로 인해 지질트레일도 조성이 되어 있는데, 지질트레일은 유네스코 세계지질공원을 활용해 각 지역의 지질자원과 마을의 역사 및 문화와 어울려진 도보길이다."
이호테우해수욕장,235,"이호테우해변(이호해수욕장)은 조랑말 등대로 제주도 사진을 찍기 좋은 곳으로 붉은 조랑말과 흰색 조랑말은 극명하게 대조되는 색감이 이국적인 풍경을 선사한다. 또한, 제주 시내에서 가장 가까이 있어 교통이 편리하고, 편의시설도 잘 갖추어져 있다. 백사장의 경사가 완만하여 많은 피서객들이 찾으며 특히 야영하기에 안성맞춤인 소나무 숲이 형성되어 있다. 해수면이 가장 낮아지는 간조에는 끝없이 넓은 백사장과 함께 원담의 모습도 볼 수 있다. 원담은 밀물과 썰물의 차이를 이용해 고기를 잡는 제주의 전통 고기잡이 방식 중 하나로, 이호테우해변(이호해수욕장)에는 그 공간을 복원시켜 놓은 이호 모살원이 있다."
오설록티뮤지엄,210,"2001년 9월 개관한 오설록티뮤지엄은 국내외 차 관련 물품과 박물관이며, 푸른 녹차밭이 펼쳐지는 제주도 서광다원 입구에 있다. 동서양 전통과 현대가 조화를 이룬 문화의 공간이자, 자연 친화적인 휴식공간으로, 건물 전체가 녹차 잔을 형상화하여 만들어졌다. 녹차와 한국 전통 차 문화를 이해할 수 있는 학습 공간으로 설록차의 모든 것을 체험해 볼 수 있는 곳이다. 

오설록의 ‘오’는 경쾌한 감탄의 의미와 함께, origin of sulloc, only sulloc, of sulloc cha의 의미가 있다. 실내에 가득한 녹차 향과 통유리 너머로 보이는 푸른 녹차밭이 마음을 편하게 만들어줘, 제주를 찾는 많은 관광객이 한 번쯤은 들르는 명소가 되었다. 티 하우스에서는 티 마스터가 직접 볶은 따뜻한 차와 오설록 녹차로 만든 음료, 아이스크림, 디저트 등을 즐길 수 있다. 특히 진한 녹색의 그린티 롤케이크는 많이 달지 않아 어른들에게도 환영을 받는다.

오설록의 티스톤에서는, 제주의 현재-과거-미래를 티 코스로 만날 수 있는 ‘오설록 프리미엄 티코스’가 준비되어 있다. 80분 동안 진행되는 이 코스는 곶자왈 숲 배경의 프라이빗한 공간, 티스톤에서 진행된다. 첫 10분은 티뮤지엄 앞뜰 및 차밭을 산책한 뒤 20분간 ‘추사 김정희’를 테마로 한 차를 마실 수 있다. 이어 제주 원물을 활용한 티칵테일과 가니시 3종을 맛보며 여유로운 시간을 즐길 수 있다. 마지막으로는 한라암차를 직접 포장하는 체험을 진행한다."
단양구경시장,205,"단양은 도담삼봉, 사인암, 옥순봉 등 단양8경을 즐길 수 있어 사계절 내내 관광객이 찾는 명소입니다. 단양구경시장은 단양의 특산품인 마늘과 신선한 농수축산물을 주로 취급하며, 매일 상설시장과 5일장이 함께 운영됩니다.

시장은 전통적인 분위기에 현대적 시설을 갖춰 편리한 쇼핑이 가능하며, 단양 마늘 관련 이벤트와 축제가 자주 열려 활기가 넘칩니다.

마늘상점거리는 품질 좋은 마늘을 다양하게 비교하고 구입할 수 있어 인기 있으며, 마늘 장아찌와 고추장 등 마늘 가공품도 쉽게 찾을 수 있습니다.

또한, 의류, 잡화, 생필품 상점도 많아 다양한 상품을 한 번에 구입할 수 있으며, 구경거리와 체험이 많아 '구경시장'이라는 별칭이 붙은 단양구경시장은 즐거운 전통시장 체험을 제공합니다."
황리단길,184,"황리단길은 경주에서 가장 젊은 길로, 황남동과 이태원의 경리단길을 합쳐진 단어로 ‘황남동의 경리단길’이라는 뜻을 가지고 있다. 내남사거리에서 시작해 황남초등학교 사거리까지의 도로를 기준으로 양쪽의 황남동, 사정동 일대의 지역을 일컫는다. 1960~70년대의 낡은 건물 등이 그대로 보존되어 있어 옛 정취를 고스란히 느낄 수 있는 거리이다. 몇 해 전부터 젊은이들이 모여들기 시작해 분위기 좋은 카페, 아기자기한 소품, 기념품 가게, 개성 있는 식당들이 들어섰다. 초기에는 도로변을 중심으로 상점들이 들어섰는데 황리단길 외연이 확장되면서 골목골목마다 개성 있는 가게들이 속속 들어서고 있다. 경주여행에서 빼놓을 수 없는 필수코스가 되었으며, 인근의 첨성대, 대릉원의 관광지를 함께 둘러볼 수 있어 경주의 명소로 각광을 받고 있다."
중문색달해수욕장,175,"중문색달해수욕장은 제주특별자치도 서귀포시 색달동 중문관광단지 안에 있는 해수욕장으로, 길이 약 560m, 폭 50m이며 모래는 흑색·백색·적색·회색을 띠고 있다. 활처럼 굽은 백사장과 ‘진모살 ’로 불리는 모래가 특히 볼만하다. 네 가지 색을 띤 모래와 제주도 특유의 검은 돌이 조화를 이루고 있다.

아름다운 해안 풍경과 야자수의 이국적인 모습으로 중문관광단지에서 시작해 천제연폭포와 대포주상절리와 이어지는 곳에 위치하고 있다. 해마다 100만 명이 넘는 사람들이 다양한 해양스포츠를 즐기기 위해 몰려든다. 본래는 진모살이라고 불렸는데 긴 모래 해변이라는 뜻이다. 이곳의 모래는 해가 비추는 방향에 따라 모래 해변의 색깔이 달라 보인다.

다른 해수욕장보다 파도가 잦고, 높은 편이라 서퍼들에게 인기가 많고, 국내의 가장 큰 규모의 국제 서핑 대회가 개최가 매년 6월에 개최된다. 1999년 환경운동연합이 실시한 ‘수질환경성’조사 결과 전국 44개 해수욕장 가운데 최고의 청정 해수욕장으로 꼽히기도 했다. 천제연폭포로 가는 길 쪽 계단으로 내려오면 나오는 중문색달해수욕장에는 해녀상을 통해 제주도 해녀의 모습을 한눈에 살펴볼 수 있다.

모래밭 오른쪽에 있는 벼랑바위에 약 15m의 천연 해식동굴이 하나 있고, 그 뒤로 바위가 병풍처럼 둘러 있다. 간조 때가 되면 동편 어귀 쪽에 물이 감도는 현상이 나타나 볼거리를 제공한다. 물살이 조금 거친 편이어서 어린이들은 유의해야 하지만, 그 때문에 윈드서핑의 적지로 꼽히기도 한다."
9.81파크,167,"9.81파크는 제주 애월 바다와 한라산 사이에 위치한 스마트 레이싱 테마파크로, 다양한 액티비티와 감각적인 실내 공간을 제공합니다. 주요 액티비티인 그래비티 레이싱에서는 무동력으로 다운힐 레이싱을 즐기며 제주 자연을 감상할 수 있고, 업힐 구간에서는 한라산 풍경을 만끽할 수 있습니다.

그래비티 레이싱 외에도 실내 스포츠 게임존 ‘스포츠랩’, 게임형 범퍼카 ‘링°°고’, 실내 서바이벌 게임 ‘아레나’, 360° 회전 그네 ‘하늘그네’ 등 다양한 활동이 준비되어 있어 모두가 즐길 수 있습니다.

또한, 브랜드스토어 ‘가라지 981’과 라운지 바 ‘스페이스제로’에서 휴식을 취하거나 다양한 상품을 구입할 수 있으며, F&B 시설로는 신선한 채소 요리를 제공하는 ‘브로콜리지’, 로봇 바리스타 카페 ‘라운지엑스’, 간식점 ‘부스터 스테이션’, 수제 도너츠 ‘오나츠’ 등이 있어 다양한 먹거리를 제공합니다."
경포해수욕장,160,"경포해변은 강원도 강릉시의 동해안 최대 해수욕장으로, 인근 석호인 경포호에서 이름을 따왔으며, 피서철에는 하루 약 50만 명의 인파가 몰립니다. 수질이 깨끗하고 모래가 고운 편이며, 1982년에 도립공원으로 지정되었습니다. 모래사장은 길이 1.8km, 폭 80m로, 해송림이 4km에 걸쳐 경관을 더합니다.

주변에는 경포대와 겨울 철새 도래지인 경포호가 있으며, 관동팔경으로 손꼽힙니다. 해변 주변에 목재 산책로와 솔향기 공원이 조성되어 있고, 자전거 대여와 관광마차 등이 운영됩니다. 야영장과 오토캠프장, 숙박시설도 확충되어 관광인프라가 잘 갖추어져 있습니다.

경포대 외에도 오죽헌, 선교장, 허난설헌 생가 등 문화유적이 있으며, 여름해변축제와 전통문예행사 등 다양한 문화행사도 열립니다. 경포해변은 가족 단위 여행지로 인기가 있으며, 남쪽 강문해수욕장과 북쪽 사천해수욕장까지 이어지는 해변이 한국판 롱비치로 불립니다."
오설록 티 뮤지엄,155,"2001년 9월 개관한 오설록티뮤지엄은 국내외 차 관련 물품과 박물관이며, 푸른 녹차밭이 펼쳐지는 제주도 서광다원 입구에 있다. 동서양 전통과 현대가 조화를 이룬 문화의 공간이자, 자연 친화적인 휴식공간으로, 건물 전체가 녹차 잔을 형상화하여 만들어졌다. 녹차와 한국 전통 차 문화를 이해할 수 있는 학습 공간으로 설록차의 모든 것을 체험해 볼 수 있는 곳이다. 

오설록의 ‘오’는 경쾌한 감탄의 의미와 함께, origin of sulloc, only sulloc, of sulloc cha의 의미가 있다. 실내에 가득한 녹차 향과 통유리 너머로 보이는 푸른 녹차밭이 마음을 편하게 만들어줘, 제주를 찾는 많은 관광객이 한 번쯤은 들르는 명소가 되었다. 티 하우스에서는 티 마스터가 직접 볶은 따뜻한 차와 오설록 녹차로 만든 음료, 아이스크림, 디저트 등을 즐길 수 있다. 특히 진한 녹색의 그린티 롤케이크는 많이 달지 않아 어른들에게도 환영을 받는다.

오설록의 티스톤에서는, 제주의 현재-과거-미래를 티 코스로 만날 수 있는 ‘오설록 프리미엄 티코스’가 준비되어 있다. 80분 동안 진행되는 이 코스는 곶자왈 숲 배경의 프라이빗한 공간, 티스톤에서 진행된다. 첫 10분은 티뮤지엄 앞뜰 및 차밭을 산책한 뒤 20분간 ‘추사 김정희’를 테마로 한 차를 마실 수 있다. 이어 제주 원물을 활용한 티칵테일과 가니시 3종을 맛보며 여유로운 시간을 즐길 수 있다. 마지막으로는 한라암차를 직접 포장하는 체험을 진행한다."
